station_code,station_name,station_type,query,altitude,latitude,longitude,county,river_basin,data_source
REL,LOWER RELIEF VALLEY,real-time,/cgi-progs/queryF?REL,8100,38.243,119.758,TUOLUMNE,STANISLAUS R,http://cdec.water.ca.gov/
LYO,LYONS VALLEY,real-time,/cgi-progs/queryF?LYO,3200,39.125,123.071,LAKE,RUSSIAN R,http://cdec.water.ca.gov/
LYC,LYTLE CREEK,real-time,/cgi-progs/queryF?LYC,2792,34.234,117.48,SAN BERNARDINO,SANTA ANA R,http://cdec.water.ca.gov/
MRF,MAD R ABV RUTH RESERVOIR NR FOREST GLEN,real-time,/cgi-progs/queryF?MRF,2700,40.2843132019043,123.335304260254,TRINITY,MAD R,http://cdec.water.ca.gov/
MBD,MAD R BL RUTH DAM,real-time,/cgi-progs/queryF?MBD,2560,40.370979309082,123.436141967773,TRINITY,MAD R,http://cdec.water.ca.gov/
MDF,MAD RIVER (USFS),real-time,/cgi-progs/queryF?MDF,2775,40.463,123.524,TRINITY,MAD R,http://cdec.water.ca.gov/
ARC,MAD RIVER NEAR ARCATA,real-time,/cgi-progs/queryF?ARC,33,40.9098510742188,124.060615539551,HUMBOLDT,MAD R,http://cdec.water.ca.gov/
MGN,MAGOON,real-time,/cgi-progs/queryF?MGN,3150,37.4894,119.8125,MARIPOSA,FRESNO R,http://cdec.water.ca.gov/
MAH,MAHOGANY,real-time,/cgi-progs/queryF?MAH,7530,36.03,118.219,KERN,KERN R,http://cdec.water.ca.gov/
MLB,MALIBU,real-time,/cgi-progs/queryF?MLB,1575,34.0617,118.644,LOS ANGELES,VENTURA LA COASTAL,http://cdec.water.ca.gov/
MCY,MALIBU CANYON,real-time,/cgi-progs/queryF?MCY,610,34.0839,118.7033,LOS ANGELES,VENTURA LA COASTAL,http://cdec.water.ca.gov/
MLR,MALLORY RIDGE,real-time,/cgi-progs/queryF?MLR,2040,37.817,121.779,CONTRA COSTA,DELTA,http://cdec.water.ca.gov/
